Date,Settlement Period,BSUoS Price
01/01/2011,1,0.74437
01/01/2011,2,1.01509
01/01/2011,3,1.17228
01/01/2011,4,0.84543
01/01/2011,5,0.59747
01/01/2011,6,0.663
01/01/2011,7,0.72658
01/01/2011,8,0.3478
01/01/2011,9,0.11548
01/01/2011,10,0.24441
01/01/2011,11,0.06797
01/01/2011,12,0.04181
01/01/2011,13,0.36981
01/01/2011,14,0.18549
01/01/2011,15,0.06633
01/01/2011,16,0.29657
01/01/2011,17,0.42654
01/01/2011,18,0.67492
01/01/2011,19,0.51965
01/01/2011,20,0.80454
01/01/2011,21,1.11941
01/01/2011,22,1.56244
01/01/2011,23,1.19741
01/01/2011,24,1.45465
01/01/2011,25,1.9938
01/01/2011,26,2.10093
01/01/2011,27,1.98245
01/01/2011,28,1.14727
01/01/2011,29,0.92565
01/01/2011,30,0.60369
01/01/2011,31,0.671
01/01/2011,32,0.5222
01/01/2011,33,0.78434
01/01/2011,34,0.98479
01/01/2011,35,1.13045
01/01/2011,36,0.79138
01/01/2011,37,0.64261
01/01/2011,38,0.41809
01/01/2011,39,0.68969
01/01/2011,40,1.2571
01/01/2011,41,1.41737
01/01/2011,42,1.31523
01/01/2011,43,1.62105
01/01/2011,44,1.4529
01/01/2011,45,1.23482
01/01/2011,46,0.96086
01/01/2011,47,1.26483
01/01/2011,48,1.18951
02/01/2011,1,0.80154
02/01/2011,2,0.91899
02/01/2011,3,0.79911
02/01/2011,4,0.43523
02/01/2011,5,0.33414
02/01/2011,6,0.42161
02/01/2011,7,0.84407
02/01/2011,8,0.55068
02/01/2011,9,0.36429
02/01/2011,10,0.17834
02/01/2011,11,0.26714
02/01/2011,12,0.41983
02/01/2011,13,0.51504
02/01/2011,14,0.49367
02/01/2011,15,0.03009
02/01/2011,16,0.02202
02/01/2011,17,0.22086
02/01/2011,18,0.34154
02/01/2011,19,-0.14847
02/01/2011,20,0.07867
02/01/2011,21,0.1165
02/01/2011,22,0.79239
02/01/2011,23,0.89238
02/01/2011,24,1.63239
02/01/2011,25,2.45443
02/01/2011,26,1.86843
02/01/2011,27,1.84036
02/01/2011,28,1.27143
02/01/2011,29,1.20494
02/01/2011,30,1.02029
02/01/2011,31,1.17654
02/01/2011,32,0.9828
02/01/2011,33,1.15738
02/01/2011,34,1.66529
02/01/2011,35,1.31335
02/01/2011,36,1.00025
02/01/2011,37,0.63316
02/01/2011,38,0.4142
02/01/2011,39,0.53116
02/01/2011,40,0.69148
02/01/2011,41,0.79337
02/01/2011,42,0.27074
02/01/2011,43,0.28983
02/01/2011,44,0.28564
02/01/2011,45,0.65602
02/01/2011,46,1.25059
02/01/2011,47,1.13341
02/01/2011,48,1.45371
03/01/2011,1,0.84496
03/01/2011,2,0.6426
03/01/2011,3,0.68487
03/01/2011,4,0.49839
03/01/2011,5,0.3179
03/01/2011,6,0.4353
03/01/2011,7,0.44114
03/01/2011,8,0.416
03/01/2011,9,0.23959
03/01/2011,10,0.12283
03/01/2011,11,0.28826
03/01/2011,12,0.40162
03/01/2011,13,0.59512
03/01/2011,14,0.73261
03/01/2011,15,0.7809
03/01/2011,16,0.67905
03/01/2011,17,1.35489
03/01/2011,18,1.10554
03/01/2011,19,0.621
03/01/2011,20,0.70179
03/01/2011,21,0.77451
03/01/2011,22,0.96285
03/01/2011,23,0.60883
03/01/2011,24,0.8643
03/01/2011,25,0.70195
03/01/2011,26,0.74621
03/01/2011,27,0.74184
03/01/2011,28,0.46022
03/01/2011,29,0.64162
03/01/2011,30,0.69055
03/01/2011,31,0.79123
03/01/2011,32,0.71337
03/01/2011,33,1.26101
03/01/2011,34,1.91523
03/01/2011,35,2.96678
03/01/2011,36,2.06528
03/01/2011,37,1.3513
03/01/2011,38,1.57775
03/01/2011,39,1.51113
03/01/2011,40,1.15619
03/01/2011,41,1.10843
03/01/2011,42,0.8862
03/01/2011,43,1.23062
03/01/2011,44,1.3266
03/01/2011,45,0.73886
03/01/2011,46,0.34201
03/01/2011,47,0.32228
03/01/2011,48,-0.01532
04/01/2011,1,-0.17444
04/01/2011,2,0.01006
04/01/2011,3,-0.00475
04/01/2011,4,-0.17595
04/01/2011,5,-0.2173
04/01/2011,6,-0.13219
04/01/2011,7,0.05554
04/01/2011,8,-0.00375
