Date,Period,BSUoS
05/01/2017,8,1.84888
05/01/2017,9,2.09401
05/01/2017,10,2.06592
05/01/2017,11,2.47084
05/01/2017,12,2.48055
05/01/2017,13,2.75189
05/01/2017,14,2.64061
05/01/2017,15,3.06043
05/01/2017,16,3.33192
05/01/2017,17,3.0978
05/01/2017,18,2.94366
05/01/2017,19,3.11637
05/01/2017,20,2.9588
05/01/2017,21,2.52169
05/01/2017,22,2.39356
05/01/2017,23,2.21986
05/01/2017,24,1.91006
05/01/2017,25,1.91415
05/01/2017,26,1.91629
05/01/2017,27,2.19302
05/01/2017,28,1.97134
05/01/2017,29,2.37727
05/01/2017,30,2.01938
05/01/2017,31,2.41446
05/01/2017,32,2.44786
05/01/2017,33,1.831
05/01/2017,34,1.93421
05/01/2017,35,1.77279
05/01/2017,36,1.72038
05/01/2017,37,1.69963
05/01/2017,38,1.86238
05/01/2017,39,2.95829
05/01/2017,40,3.07433
05/01/2017,41,2.19253
05/01/2017,42,2.21919
05/01/2017,43,2.29127
05/01/2017,44,2.1975
05/01/2017,45,2.11392
05/01/2017,46,1.95604
05/01/2017,47,2.47279
05/01/2017,48,2.67203
06/01/2017,1,2.56442
06/01/2017,2,2.81197
06/01/2017,3,2.92798
06/01/2017,4,2.77328
06/01/2017,5,3.16455
06/01/2017,6,3.2723
06/01/2017,7,3.0785
06/01/2017,8,2.91872
06/01/2017,9,2.88347
06/01/2017,10,2.85718
06/01/2017,11,2.85715
06/01/2017,12,2.49636
06/01/2017,13,2.96908
06/01/2017,14,2.55969
06/01/2017,15,2.59208
06/01/2017,16,2.67779
06/01/2017,17,2.76815
06/01/2017,18,2.11615
06/01/2017,19,2.48174
06/01/2017,20,2.5417
06/01/2017,21,2.82194
06/01/2017,22,3.43878
06/01/2017,23,2.76347
06/01/2017,24,3.08044
06/01/2017,25,3.21851
06/01/2017,26,3.30028
06/01/2017,27,2.74875
06/01/2017,28,2.35237
06/01/2017,29,2.3867
06/01/2017,30,2.39257
06/01/2017,31,2.40939
06/01/2017,32,2.67731
06/01/2017,33,3.98735
06/01/2017,34,4.07738
06/01/2017,35,3.89501
06/01/2017,36,3.4635
06/01/2017,37,3.42698
06/01/2017,38,3.47271
06/01/2017,39,3.34531
06/01/2017,40,3.30673
06/01/2017,41,2.78148
06/01/2017,42,2.56827
06/01/2017,43,2.27346
06/01/2017,44,2.26594
06/01/2017,45,1.84015
06/01/2017,46,1.67845
06/01/2017,47,1.73103
06/01/2017,48,1.99332
07/01/2017,1,2.45883
07/01/2017,2,2.44412
07/01/2017,3,2.18449
07/01/2017,4,2.26395
07/01/2017,5,2.07978
07/01/2017,6,2.08767
07/01/2017,7,2.08194
07/01/2017,8,1.90398
07/01/2017,9,1.9742
07/01/2017,10,1.9436
07/01/2017,11,2.07515
07/01/2017,12,2.07072
07/01/2017,13,2.29469
07/01/2017,14,2.16404
07/01/2017,15,2.18746
07/01/2017,16,2.16099
07/01/2017,17,2.27245
07/01/2017,18,2.29045
07/01/2017,19,2.5032
07/01/2017,20,2.71104
07/01/2017,21,3.40713
07/01/2017,22,3.98937
07/01/2017,23,4.03438
07/01/2017,24,3.97873
07/01/2017,25,3.79516
07/01/2017,26,3.75206
07/01/2017,27,3.50198
07/01/2017,28,2.48511
07/01/2017,29,1.99567
07/01/2017,30,1.88781
07/01/2017,31,2.35965
07/01/2017,32,2.06987
07/01/2017,33,2.22001
07/01/2017,34,2.8454
07/01/2017,35,3.07222
07/01/2017,36,3.1618
07/01/2017,37,2.88176
07/01/2017,38,2.76237
07/01/2017,39,3.28251
07/01/2017,40,2.88328
07/01/2017,41,2.6426
07/01/2017,42,1.91833
07/01/2017,43,1.54303
07/01/2017,44,1.41512
07/01/2017,45,1.4577
07/01/2017,46,1.50883
07/01/2017,47,1.73015
07/01/2017,48,1.63067
08/01/2017,1,1.62272
08/01/2017,2,1.8683
08/01/2017,3,1.68213
08/01/2017,4,1.5747
08/01/2017,5,1.60144
08/01/2017,6,1.47883
08/01/2017,7,1.42719
08/01/2017,8,1.34884
08/01/2017,9,1.43523
08/01/2017,10,1.1794
08/01/2017,11,1.30777
08/01/2017,12,1.26555
08/01/2017,13,1.61291
08/01/2017,14,1.69645
08/01/2017,15,1.57981
08/01/2017,16,1.49494
08/01/2017,17,1.59881
08/01/2017,18,1.53335
08/01/2017,19,1.9459
08/01/2017,20,1.7906
08/01/2017,21,2.02443
08/01/2017,22,2.3601
08/01/2017,23,2.5663
08/01/2017,24,2.7548
08/01/2017,25,2.66819
08/01/2017,26,2.51169
08/01/2017,27,2.43804
08/01/2017,28,2.11923
08/01/2017,29,2.14992
08/01/2017,30,2.06491
08/01/2017,31,1.944
08/01/2017,32,1.85604
08/01/2017,33,2.18065
08/01/2017,34,2.79982
08/01/2017,35,3.12486
08/01/2017,36,2.75445
08/01/2017,37,2.49499
08/01/2017,38,2.40336
08/01/2017,39,2.2425
08/01/2017,40,2.07836
08/01/2017,41,2.12822
08/01/2017,42,1.47286
08/01/2017,43,1.4383
08/01/2017,44,1.13607
08/01/2017,45,1.69162
08/01/2017,46,1.7901
08/01/2017,47,2.36351
08/01/2017,48,3.25676
09/01/2017,1,3.73711
09/01/2017,2,4.27569
09/01/2017,3,4.47491
09/01/2017,4,4.45677
09/01/2017,5,5.167
09/01/2017,6,5.1877
09/01/2017,7,5.66076
09/01/2017,8,5.51503
09/01/2017,9,5.49229
09/01/2017,10,5.60439
09/01/2017,11,6.08147
09/01/2017,12,6.50278
09/01/2017,13,5.95191
09/01/2017,14,5.00778
09/01/2017,15,4.2505
09/01/2017,16,3.2833
09/01/2017,17,2.82747
