Date,Settlement Period,BSUoS Price
01/01/2009,1,1.03426
01/01/2009,2,1.12761
01/01/2009,3,0.92177
01/01/2009,4,0.51274
01/01/2009,5,0.73866
01/01/2009,6,1.00357
01/01/2009,7,1.24508
01/01/2009,8,1.29218
01/01/2009,9,1.05175
01/01/2009,10,0.79168
01/01/2009,11,0.60835
01/01/2009,12,0.3908
01/01/2009,13,0.34417
01/01/2009,14,0.43377
01/01/2009,15,0.02824
01/01/2009,16,-0.46548
01/01/2009,17,-0.41576
01/01/2009,18,-0.44451
01/01/2009,19,-0.45255
01/01/2009,20,0.01898
01/01/2009,21,0.26629
01/01/2009,22,0.97285
01/01/2009,23,0.74424
01/01/2009,24,1.15293
01/01/2009,25,1.36512
01/01/2009,26,1.39662
01/01/2009,27,1.303
01/01/2009,28,1.48725
01/01/2009,29,1.34138
01/01/2009,30,0.7497
01/01/2009,31,0.67563
01/01/2009,32,1.02776
01/01/2009,33,0.97816
01/01/2009,34,0.76209
01/01/2009,35,0.75285
01/01/2009,36,0.52219
01/01/2009,37,0.40678
01/01/2009,38,0.08094
01/01/2009,39,0.58964
01/01/2009,40,0.31368
01/01/2009,41,0.56484
01/01/2009,42,0.05394
01/01/2009,43,0.24179
01/01/2009,44,0.29712
01/01/2009,45,0.01026
01/01/2009,46,0.27484
01/01/2009,47,1.03488
01/01/2009,48,0.17628
02/01/2009,1,0.41804
02/01/2009,2,0.39945
02/01/2009,3,0.24514
02/01/2009,4,0.15619
02/01/2009,5,0.23427
02/01/2009,6,0.38597
02/01/2009,7,0.34766
02/01/2009,8,0.18858
02/01/2009,9,0.16133
02/01/2009,10,0.03691
02/01/2009,11,-0.01835
02/01/2009,12,-0.01928
02/01/2009,13,0.16791
02/01/2009,14,0.12589
02/01/2009,15,-0.05723
02/01/2009,16,-0.17421
02/01/2009,17,0.47417
02/01/2009,18,0.83122
02/01/2009,19,0.64143
02/01/2009,20,0.60562
02/01/2009,21,0.96103
02/01/2009,22,1.35761
02/01/2009,23,1.17362
02/01/2009,24,0.91993
02/01/2009,25,0.96432
02/01/2009,26,1.07859
02/01/2009,27,0.89614
02/01/2009,28,0.56979
02/01/2009,29,0.57815
02/01/2009,30,0.34504
02/01/2009,31,0.66983
02/01/2009,32,0.72613
02/01/2009,33,0.88157
02/01/2009,34,1.7117
02/01/2009,35,1.79332
02/01/2009,36,1.8162
02/01/2009,37,1.54955
02/01/2009,38,0.95162
02/01/2009,39,1.31532
02/01/2009,40,0.97792
02/01/2009,41,0.95408
02/01/2009,42,0.98458
02/01/2009,43,1.07182
02/01/2009,44,1.12804
02/01/2009,45,1.55418
02/01/2009,46,1.44126
02/01/2009,47,0.9863
02/01/2009,48,0.93905
03/01/2009,1,0.7206
03/01/2009,2,0.43969
03/01/2009,3,0.4658
03/01/2009,4,0.29434
03/01/2009,5,0.31689
03/01/2009,6,0.26137
03/01/2009,7,-0.02021
03/01/2009,8,0.02436
03/01/2009,9,0.00191
03/01/2009,10,-0.00195
03/01/2009,11,0.14872
03/01/2009,12,0.23211
03/01/2009,13,0.18734
03/01/2009,14,-0.02211
03/01/2009,15,-0.07254
03/01/2009,16,-0.02199
03/01/2009,17,0.00997
03/01/2009,18,-0.01062
03/01/2009,19,0.37404
03/01/2009,20,0.94539
03/01/2009,21,1.13358
03/01/2009,22,0.97838
03/01/2009,23,0.60464
03/01/2009,24,0.59773
03/01/2009,25,0.53208
03/01/2009,26,0.50281
03/01/2009,27,0.56193
03/01/2009,28,0.21471
03/01/2009,29,0.2371
03/01/2009,30,0.08638
03/01/2009,31,-0.01433
03/01/2009,32,-0.11313
03/01/2009,33,0.36465
03/01/2009,34,1.45697
03/01/2009,35,1.59628
03/01/2009,36,1.26839
03/01/2009,37,0.72558
03/01/2009,38,0.52301
03/01/2009,39,0.69656
03/01/2009,40,0.63659
03/01/2009,41,0.44661
03/01/2009,42,0.39935
03/01/2009,43,0.3671
03/01/2009,44,0.27173
03/01/2009,45,0.27372
03/01/2009,46,0.25124
03/01/2009,47,0.98742
03/01/2009,48,0.92814
04/01/2009,1,1.34459
04/01/2009,2,1.34159
04/01/2009,3,0.97385
04/01/2009,4,0.59781
04/01/2009,5,0.35362
04/01/2009,6,0.65437
04/01/2009,7,0.80653
04/01/2009,8,0.51034
04/01/2009,9,0.16987
04/01/2009,10,0.19988
04/01/2009,11,0.14188
04/01/2009,12,-0.03011
04/01/2009,13,0.02551
04/01/2009,14,0.01931
04/01/2009,15,-0.02559
04/01/2009,16,0.01287
04/01/2009,17,0.31837
04/01/2009,18,0.53015
04/01/2009,19,0.25433
04/01/2009,20,0.01716
04/01/2009,21,0.5956
04/01/2009,22,0.75844
04/01/2009,23,1.39508
04/01/2009,24,1.56291
04/01/2009,25,3.00482
04/01/2009,26,2.96726
04/01/2009,27,3.51871
04/01/2009,28,3.34521
04/01/2009,29,3.09734
04/01/2009,30,2.03242
04/01/2009,31,2.31458
04/01/2009,32,2.2237
04/01/2009,33,1.525
04/01/2009,34,1.10048
04/01/2009,35,1.12913
04/01/2009,36,0.74541
04/01/2009,37,0.62223
04/01/2009,38,0.52264
04/01/2009,39,0.65014
04/01/2009,40,0.48874
04/01/2009,41,0.41573
04/01/2009,42,0.30361
04/01/2009,43,0.67228
04/01/2009,44,0.23377
04/01/2009,45,0.08659
04/01/2009,46,-0.09561
04/01/2009,47,0.16127
04/01/2009,48,0.21325
05/01/2009,1,1.25848
05/01/2009,2,1.32148
05/01/2009,3,1.27333
05/01/2009,4,1.00222
05/01/2009,5,0.94435
05/01/2009,6,0.8411
05/01/2009,7,1.14482
05/01/2009,8,1.06771
05/01/2009,9,0.96436
05/01/2009,10,0.91671
05/01/2009,11,0.8742
05/01/2009,12,1.148
05/01/2009,13,2.57987
05/01/2009,14,4.15172
05/01/2009,15,4.90848
05/01/2009,16,5.02472
05/01/2009,17,4.85711
05/01/2009,18,5.34394
05/01/2009,19,6.14648
05/01/2009,20,5.65702
05/01/2009,21,5.35981
05/01/2009,22,5.76074
05/01/2009,23,5.82923
05/01/2009,24,5.5716
05/01/2009,25,5.42103
05/01/2009,26,4.81772
05/01/2009,27,4.95355
05/01/2009,28,4.04265
05/01/2009,29,5.07891
05/01/2009,30,5.8537
05/01/2009,31,6.01123
05/01/2009,32,7.28017
05/01/2009,33,7.94634
05/01/2009,34,10.8826
05/01/2009,35,13.01338
05/01/2009,36,9.28066
05/01/2009,37,8.80556
05/01/2009,38,7.66357
05/01/2009,39,12.77825
05/01/2009,40,10.28336
05/01/2009,41,7.98552
05/01/2009,42,6.37652
05/01/2009,43,4.26195
05/01/2009,44,2.80163
05/01/2009,45,1.83227
05/01/2009,46,1.07933
05/01/2009,47,1.11974
05/01/2009,48,0.94362
06/01/2009,1,1.64993
06/01/2009,2,1.69409
06/01/2009,3,1.73858
06/01/2009,4,1.67388
06/01/2009,5,1.46922
06/01/2009,6,1.80634
06/01/2009,7,1.75638
06/01/2009,8,1.46447
06/01/2009,9,1.60284
06/01/2009,10,1.29476
06/01/2009,11,1.55044
06/01/2009,12,1.90832
06/01/2009,13,3.91228
06/01/2009,14,4.32002
06/01/2009,15,4.67708
06/01/2009,16,4.60195
06/01/2009,17,4.06218
06/01/2009,18,3.83834
06/01/2009,19,4.99211
06/01/2009,20,4.65597
06/01/2009,21,2.68443
06/01/2009,22,1.88967
06/01/2009,23,1.63417
06/01/2009,24,1.58493
06/01/2009,25,1.63728
06/01/2009,26,1.6136
06/01/2009,27,1.69416
06/01/2009,28,1.40672
06/01/2009,29,1.89747
06/01/2009,30,3.14956
06/01/2009,31,2.67467
06/01/2009,32,3.06097
06/01/2009,33,4.66951
06/01/2009,34,5.37213
06/01/2009,35,5.51728
06/01/2009,36,3.92389
06/01/2009,37,3.30412
06/01/2009,38,2.86384
06/01/2009,39,2.06818
06/01/2009,40,2.76524
06/01/2009,41,2.81846
06/01/2009,42,2.85015
06/01/2009,43,2.5651
06/01/2009,44,2.46407
06/01/2009,45,2.44207
06/01/2009,46,1.12469
06/01/2009,47,1.22402
06/01/2009,48,1.88814
07/01/2009,1,1.46216
07/01/2009,2,1.40072
07/01/2009,3,1.61762
07/01/2009,4,1.80085
07/01/2009,5,2.00803
07/01/2009,6,2.22071
07/01/2009,7,1.96137
07/01/2009,8,1.53483
07/01/2009,9,1.17633
07/01/2009,10,1.00956
07/01/2009,11,1.21541
07/01/2009,12,1.27248
07/01/2009,13,1.27246
07/01/2009,14,0.97099
07/01/2009,15,2.04135
07/01/2009,16,3.67732
07/01/2009,17,4.40905
07/01/2009,18,3.45646
07/01/2009,19,4.16052
07/01/2009,20,3.99129
07/01/2009,21,3.78782
07/01/2009,22,4.06382
07/01/2009,23,4.09358
07/01/2009,24,3.86747
07/01/2009,25,3.99009
07/01/2009,26,4.0214
07/01/2009,27,3.92154
07/01/2009,28,3.70796
07/01/2009,29,3.70616
07/01/2009,30,3.45631
07/01/2009,31,3.19889
07/01/2009,32,4.11727
07/01/2009,33,5.18066
07/01/2009,34,5.60802
07/01/2009,35,5.59184
07/01/2009,36,4.67832
07/01/2009,37,3.10163
07/01/2009,38,3.02529
07/01/2009,39,2.85249
07/01/2009,40,2.51309
07/01/2009,41,1.54692
07/01/2009,42,0.94054
07/01/2009,43,0.93287
07/01/2009,44,1.11001
07/01/2009,45,1.31692
07/01/2009,46,0.65788
07/01/2009,47,0.36121
07/01/2009,48,0.28925
08/01/2009,1,0.55738
08/01/2009,2,0.70092
08/01/2009,3,0.77542
08/01/2009,4,0.67593
08/01/2009,5,0.61771
08/01/2009,6,0.79077
08/01/2009,7,0.60541
08/01/2009,8,0.66727
08/01/2009,9,0.71738
08/01/2009,10,0.67959
08/01/2009,11,0.68875
08/01/2009,12,0.71123
08/01/2009,13,0.93583
08/01/2009,14,0.79841
08/01/2009,15,1.10429
08/01/2009,16,1.62152
08/01/2009,17,1.64487
08/01/2009,18,1.18403
08/01/2009,19,1.24949
08/01/2009,20,1.32986
08/01/2009,21,1.11162
08/01/2009,22,1.16329
08/01/2009,23,1.16532
08/01/2009,24,1.16828
08/01/2009,25,1.06655
08/01/2009,26,1.07145
08/01/2009,27,1.08284
08/01/2009,28,0.79221
08/01/2009,29,0.84522
08/01/2009,30,0.88874
08/01/2009,31,0.32993
08/01/2009,32,0.51891
08/01/2009,33,0.55319
08/01/2009,34,1.814
08/01/2009,35,2.63215
08/01/2009,36,2.62684
08/01/2009,37,2.70508
08/01/2009,38,2.88188
08/01/2009,39,2.66407
08/01/2009,40,0.96984
08/01/2009,41,0.83724
08/01/2009,42,0.8138
08/01/2009,43,1.06498
08/01/2009,44,1.2096
08/01/2009,45,1.37831
08/01/2009,46,0.83812
08/01/2009,47,0.3782
08/01/2009,48,0.35459
09/01/2009,1,0.53297
09/01/2009,2,0.74614
09/01/2009,3,0.77983
09/01/2009,4,0.28066
09/01/2009,5,0.2605
09/01/2009,6,0.52112
09/01/2009,7,0.54806
09/01/2009,8,0.54629
