Settlement Day,Settlement Period,BSUoS Price
01/01/2016,1,3.21858
01/01/2016,2,3.6452
01/01/2016,3,4.54308
01/01/2016,4,3.69209
01/01/2016,5,3.9093
01/01/2016,6,4.32507
01/01/2016,7,5.24725
01/01/2016,8,3.36651
01/01/2016,9,3.19817
01/01/2016,10,3.05955
01/01/2016,11,3.07901
01/01/2016,12,2.85535
01/01/2016,13,1.75487
01/01/2016,14,1.93314
01/01/2016,15,1.9278
01/01/2016,16,2.06822
01/01/2016,17,1.80309
01/01/2016,18,2.12216
01/01/2016,19,2.09259
01/01/2016,20,2.16778
01/01/2016,21,2.22592
01/01/2016,22,2.34994
01/01/2016,23,2.1225
01/01/2016,24,2.47054
01/01/2016,25,2.90306
01/01/2016,26,3.13426
01/01/2016,27,2.85977
01/01/2016,28,2.24894
01/01/2016,29,2.13242
01/01/2016,30,2.101
01/01/2016,31,2.23786
01/01/2016,32,2.26865
01/01/2016,33,2.69474
01/01/2016,34,2.31822
01/01/2016,35,2.72426
01/01/2016,36,2.70714
01/01/2016,37,2.8982
01/01/2016,38,2.95908
01/01/2016,39,3.50936
01/01/2016,40,4.47498
01/01/2016,41,4.67243
01/01/2016,42,5.18042
01/01/2016,43,5.75505
01/01/2016,44,5.56278
01/01/2016,45,5.82282
01/01/2016,46,5.8503
01/01/2016,47,8.37096
01/01/2016,48,7.84467
02/01/2016,1,7.95416
02/01/2016,2,7.6345
02/01/2016,3,7.44405
02/01/2016,4,7.16216
02/01/2016,5,7.90055
02/01/2016,6,7.43521
02/01/2016,7,6.5025
02/01/2016,8,5.97041
02/01/2016,9,6.6157
02/01/2016,10,6.57309
02/01/2016,11,6.43412
02/01/2016,12,5.91715
02/01/2016,13,4.5034
02/01/2016,14,3.81443
02/01/2016,15,2.85092
02/01/2016,16,2.08011
02/01/2016,17,2.09458
02/01/2016,18,2.50233
02/01/2016,19,2.25359
02/01/2016,20,1.67982
02/01/2016,21,1.56793
02/01/2016,22,1.47903
02/01/2016,23,1.29098
02/01/2016,24,1.17401
02/01/2016,25,1.95864
02/01/2016,26,1.6482
02/01/2016,27,1.70747
02/01/2016,28,1.62952
