Date,Settlement Period,BSUoS Price
01/01/2013,1,1.96527
01/01/2013,2,2.10912
01/01/2013,3,1.98208
01/01/2013,4,1.70607
01/01/2013,5,1.60788
01/01/2013,6,1.75814
01/01/2013,7,3.75478
01/01/2013,8,3.41468
01/01/2013,9,3.17
01/01/2013,10,2.90362
01/01/2013,11,2.64501
01/01/2013,12,2.62675
01/01/2013,13,2.86896
01/01/2013,14,3.47404
01/01/2013,15,4.16449
01/01/2013,16,2.24831
01/01/2013,17,1.47942
01/01/2013,18,1.63538
01/01/2013,19,0.89054
01/01/2013,20,0.74791
01/01/2013,21,0.80729
01/01/2013,22,0.98127
01/01/2013,23,1.19498
01/01/2013,24,1.09262
01/01/2013,25,1.04459
01/01/2013,26,0.97374
01/01/2013,27,0.77822
01/01/2013,28,0.65466
01/01/2013,29,0.98478
01/01/2013,30,0.43741
01/01/2013,31,0.89193
01/01/2013,32,1.05204
01/01/2013,33,1.4592
01/01/2013,34,2.60455
01/01/2013,35,2.30593
01/01/2013,36,2.28239
01/01/2013,37,2.00984
01/01/2013,38,1.77846
01/01/2013,39,2.23637
01/01/2013,40,2.00805
01/01/2013,41,2.11185
01/01/2013,42,1.57013
01/01/2013,43,2.44517
01/01/2013,44,1.74614
01/01/2013,45,1.46128
01/01/2013,46,1.2401
01/01/2013,47,0.88307
01/01/2013,48,0.39567
02/01/2013,1,0.15289
02/01/2013,2,0.82893
02/01/2013,3,0.61618
02/01/2013,4,0.66564
02/01/2013,5,0.92946
02/01/2013,6,0.77645
02/01/2013,7,0.92684
02/01/2013,8,0.69813
02/01/2013,9,0.75776
02/01/2013,10,0.70142
02/01/2013,11,0.77466
02/01/2013,12,1.01847
02/01/2013,13,1.19145
02/01/2013,14,1.31941
02/01/2013,15,1.64981
02/01/2013,16,1.43523
02/01/2013,17,1.19985
02/01/2013,18,1.10051
02/01/2013,19,0.53906
02/01/2013,20,0.51918
02/01/2013,21,0.63199
02/01/2013,22,0.82015
02/01/2013,23,0.93443
02/01/2013,24,0.91515
02/01/2013,25,1.03873
02/01/2013,26,1.21367
02/01/2013,27,1.45904
02/01/2013,28,1.00038
02/01/2013,29,1.12847
02/01/2013,30,0.67833
02/01/2013,31,0.6276
02/01/2013,32,0.69101
02/01/2013,33,0.89251
02/01/2013,34,1.54812
02/01/2013,35,1.66523
02/01/2013,36,1.40753
02/01/2013,37,1.01308
02/01/2013,38,0.39731
02/01/2013,39,0.76175
02/01/2013,40,0.95141
02/01/2013,41,1.04592
02/01/2013,42,1.02252
02/01/2013,43,0.6731
02/01/2013,44,0.50042
02/01/2013,45,1.04687
02/01/2013,46,1.02431
02/01/2013,47,1.15819
02/01/2013,48,0.9783
03/01/2013,1,1.15533
03/01/2013,2,1.23592
03/01/2013,3,1.2224
03/01/2013,4,0.90249
03/01/2013,5,0.88202
03/01/2013,6,0.80727
03/01/2013,7,1.04363
03/01/2013,8,0.75837
03/01/2013,9,0.83245
03/01/2013,10,0.81679
03/01/2013,11,0.83296
03/01/2013,12,0.93829
03/01/2013,13,1.33712
03/01/2013,14,0.81151
03/01/2013,15,0.21844
03/01/2013,16,-0.40062
03/01/2013,17,-0.23343
03/01/2013,18,0.0885
03/01/2013,19,0.2906
03/01/2013,20,0.28555
03/01/2013,21,0.58968
03/01/2013,22,0.6167
03/01/2013,23,0.51688
03/01/2013,24,0.49638
03/01/2013,25,0.75098
03/01/2013,26,0.79577
03/01/2013,27,0.68295
03/01/2013,28,0.31272
03/01/2013,29,0.3998
03/01/2013,30,0.44467
03/01/2013,31,0.5952
03/01/2013,32,0.31729
03/01/2013,33,0.45274
03/01/2013,34,0.87523
03/01/2013,35,0.742
03/01/2013,36,0.61688
03/01/2013,37,0.5491
03/01/2013,38,0.41775
03/01/2013,39,0.77854
03/01/2013,40,0.87176
03/01/2013,41,0.7144
03/01/2013,42,0.61358
03/01/2013,43,0.1208
03/01/2013,44,-0.00162
03/01/2013,45,0.71771
03/01/2013,46,0.8693
03/01/2013,47,1.65811
03/01/2013,48,1.55748
04/01/2013,1,1.30891
04/01/2013,2,1.22298
04/01/2013,3,1.24528
04/01/2013,4,0.75964
04/01/2013,5,0.60255
04/01/2013,6,0.64338
04/01/2013,7,1.04163
04/01/2013,8,0.88067
04/01/2013,9,0.61237
04/01/2013,10,0.53215
04/01/2013,11,0.58343
04/01/2013,12,0.67541
04/01/2013,13,0.66478
04/01/2013,14,0.29381
04/01/2013,15,0.67214
04/01/2013,16,0.69294
04/01/2013,17,1.01358
04/01/2013,18,1.02798
04/01/2013,19,1.65455
04/01/2013,20,1.81397
04/01/2013,21,1.61324
04/01/2013,22,1.72829
04/01/2013,23,1.40081
04/01/2013,24,1.01147
04/01/2013,25,0.69827
04/01/2013,26,0.6886
04/01/2013,27,0.74196
04/01/2013,28,0.52595
04/01/2013,29,0.9697
04/01/2013,30,1.07631
04/01/2013,31,0.89166
04/01/2013,32,0.60466
04/01/2013,33,1.26782
04/01/2013,34,1.86334
04/01/2013,35,1.42976
04/01/2013,36,1.1903
04/01/2013,37,1.30271
04/01/2013,38,1.48128
04/01/2013,39,1.24745
04/01/2013,40,1.02852
04/01/2013,41,1.00055
04/01/2013,42,0.95429
04/01/2013,43,1.12665
04/01/2013,44,1.45791
04/01/2013,45,1.21802
04/01/2013,46,2.06523
04/01/2013,47,2.30621
04/01/2013,48,1.79844
05/01/2013,1,1.89088
05/01/2013,2,1.85148
05/01/2013,3,1.66725
05/01/2013,4,1.00731
05/01/2013,5,0.69911
05/01/2013,6,0.71121
05/01/2013,7,0.61995
05/01/2013,8,0.40034
