Settlement Day,Settlement Period,BSUoS Price
01/01/2015,1,6.11898
01/01/2015,2,6.0512
01/01/2015,3,5.79719
01/01/2015,4,5.50933
01/01/2015,5,5.96866
01/01/2015,6,5.73265
01/01/2015,7,5.52066
01/01/2015,8,5.51298
01/01/2015,9,5.31876
01/01/2015,10,5.285
01/01/2015,11,5.76576
01/01/2015,12,5.55813
01/01/2015,13,4.81892
01/01/2015,14,5.13838
01/01/2015,15,5.23727
01/01/2015,16,5.38334
01/01/2015,17,5.45118
01/01/2015,18,5.73704
01/01/2015,19,5.71952
01/01/2015,20,4.6997
01/01/2015,21,4.47833
01/01/2015,22,4.41752
01/01/2015,23,4.6285
01/01/2015,24,4.49599
01/01/2015,25,4.24626
01/01/2015,26,4.00569
01/01/2015,27,3.90068
01/01/2015,28,4.04305
01/01/2015,29,3.79813
01/01/2015,30,3.93218
01/01/2015,31,4.31388
01/01/2015,32,4.60398
01/01/2015,33,4.93221
01/01/2015,34,5.38084
01/01/2015,35,5.8078
01/01/2015,36,5.23155
01/01/2015,37,5.08116
01/01/2015,38,5.10174
01/01/2015,39,5.35104
01/01/2015,40,5.355
01/01/2015,41,5.59957
01/01/2015,42,5.0316
01/01/2015,43,5.27491
01/01/2015,44,5.44758
01/01/2015,45,5.26567
01/01/2015,46,5.99427
01/01/2015,47,8.06146
01/01/2015,48,8.29094
02/01/2015,1,7.81938
02/01/2015,2,7.93012
02/01/2015,3,7.73608
02/01/2015,4,7.87669
02/01/2015,5,8.03764
02/01/2015,6,8.06608
02/01/2015,7,7.88774
02/01/2015,8,7.96424
02/01/2015,9,7.81894
02/01/2015,10,8.04175
02/01/2015,11,8.01288
02/01/2015,12,7.3934
02/01/2015,13,8.40914
02/01/2015,14,8.84191
02/01/2015,15,9.2589
02/01/2015,16,8.0171
02/01/2015,17,6.94398
02/01/2015,18,4.59367
02/01/2015,19,3.53721
02/01/2015,20,3.68492
02/01/2015,21,3.26043
02/01/2015,22,2.75529
02/01/2015,23,2.48669
02/01/2015,24,2.34725
02/01/2015,25,2.16639
02/01/2015,26,1.84124
02/01/2015,27,1.63501
02/01/2015,28,1.54523
02/01/2015,29,1.98187
02/01/2015,30,1.70521
02/01/2015,31,1.39491
02/01/2015,32,1.35491
02/01/2015,33,2.01135
02/01/2015,34,4.93591
02/01/2015,35,4.10329
02/01/2015,36,3.10552
02/01/2015,37,2.42976
02/01/2015,38,2.21948
02/01/2015,39,2.19978
02/01/2015,40,1.83868
02/01/2015,41,1.78276
02/01/2015,42,2.67986
02/01/2015,43,2.79461
02/01/2015,44,2.25646
02/01/2015,45,3.19384
02/01/2015,46,3.32779
02/01/2015,47,4.24249
02/01/2015,48,4.8098
03/01/2015,1,4.93993
03/01/2015,2,4.86662
03/01/2015,3,4.63402
03/01/2015,4,4.73882
03/01/2015,5,4.18142
03/01/2015,6,3.76057
03/01/2015,7,3.56925
03/01/2015,8,3.56297
03/01/2015,9,4.30743
03/01/2015,10,3.57105
03/01/2015,11,4.25002
03/01/2015,12,3.71721
03/01/2015,13,2.44985
03/01/2015,14,2.31422
03/01/2015,15,1.56956
03/01/2015,16,1.4707
03/01/2015,17,1.34383
03/01/2015,18,1.7398
03/01/2015,19,1.69762
03/01/2015,20,1.62162
03/01/2015,21,1.41606
03/01/2015,22,1.52083
03/01/2015,23,1.33267
03/01/2015,24,1.49301
03/01/2015,25,1.81542
03/01/2015,26,1.74444
03/01/2015,27,1.6843
03/01/2015,28,1.47431
03/01/2015,29,1.20163
03/01/2015,30,0.97896
03/01/2015,31,0.59941
03/01/2015,32,0.782
03/01/2015,33,0.97039
03/01/2015,34,1.26551
03/01/2015,35,1.32293
03/01/2015,36,1.53643
03/01/2015,37,1.75088
03/01/2015,38,1.43869
03/01/2015,39,1.94109
03/01/2015,40,1.87745
03/01/2015,41,1.85764
03/01/2015,42,1.82256
03/01/2015,43,1.44504
03/01/2015,44,0.98232
03/01/2015,45,1.07337
03/01/2015,46,1.20835
03/01/2015,47,1.34531
03/01/2015,48,1.52641
04/01/2015,1,2.18214
04/01/2015,2,2.14654
04/01/2015,3,2.3476
04/01/2015,4,2.08983
04/01/2015,5,1.85567
04/01/2015,6,2.08126
04/01/2015,7,1.84335
04/01/2015,8,1.71901
04/01/2015,9,2.15453
04/01/2015,10,1.9621
04/01/2015,11,1.80346
04/01/2015,12,1.89444
04/01/2015,13,1.44353
04/01/2015,14,1.56306
04/01/2015,15,1.37426
04/01/2015,16,1.10159
04/01/2015,17,1.46665
04/01/2015,18,1.29055
04/01/2015,19,1.23593
04/01/2015,20,1.16742
04/01/2015,21,1.20605
04/01/2015,22,1.29237
04/01/2015,23,1.3413
04/01/2015,24,1.2511
04/01/2015,25,1.53749
04/01/2015,26,1.37903
04/01/2015,27,1.16434
04/01/2015,28,0.82472
04/01/2015,29,0.93492
04/01/2015,30,1.2606
04/01/2015,31,1.41107
04/01/2015,32,1.33953
04/01/2015,33,1.60997
04/01/2015,34,2.10114
04/01/2015,35,2.00389
04/01/2015,36,1.85124
04/01/2015,37,1.70952
04/01/2015,38,1.63146
04/01/2015,39,1.88709
04/01/2015,40,2.03198
04/01/2015,41,1.65932
04/01/2015,42,1.71715
04/01/2015,43,1.99437
04/01/2015,44,1.65805
04/01/2015,45,1.92056
04/01/2015,46,2.09558
04/01/2015,47,2.12
04/01/2015,48,2.19179
05/01/2015,1,2.60115
05/01/2015,2,2.70265
05/01/2015,3,2.68388
05/01/2015,4,2.36979
05/01/2015,5,2.19856
05/01/2015,6,2.22131
05/01/2015,7,2.68402
05/01/2015,8,2.25884
05/01/2015,9,2.58761
05/01/2015,10,2.65202
05/01/2015,11,2.99531
05/01/2015,12,3.23072
05/01/2015,13,2.82074
05/01/2015,14,2.38152
05/01/2015,15,1.63072
05/01/2015,16,1.31444
05/01/2015,17,1.20335
05/01/2015,18,1.41587
05/01/2015,19,1.61055
05/01/2015,20,1.69428
05/01/2015,21,1.60002
05/01/2015,22,1.38586
05/01/2015,23,1.16698
05/01/2015,24,0.99573
05/01/2015,25,1.16695
05/01/2015,26,1.27804
05/01/2015,27,1.17334
05/01/2015,28,1.06157
05/01/2015,29,1.07656
05/01/2015,30,1.08459
05/01/2015,31,1.08452
05/01/2015,32,1.08587
05/01/2015,33,1.31818
05/01/2015,34,1.42465
05/01/2015,35,1.33097
05/01/2015,36,1.16354
05/01/2015,37,1.49608
05/01/2015,38,1.20068
05/01/2015,39,1.19044
05/01/2015,40,1.09696
05/01/2015,41,1.41201
05/01/2015,42,1.13885
05/01/2015,43,0.88679
05/01/2015,44,1.19654
05/01/2015,45,1.22849
05/01/2015,46,1.49555
05/01/2015,47,1.23672
05/01/2015,48,1.29708
06/01/2015,1,1.89529
06/01/2015,2,1.57017
06/01/2015,3,1.78116
06/01/2015,4,1.43292
06/01/2015,5,1.38544
06/01/2015,6,1.48302
06/01/2015,7,1.52795
06/01/2015,8,1.45072
06/01/2015,9,1.45745
06/01/2015,10,1.48409
06/01/2015,11,1.84698
06/01/2015,12,1.84804
06/01/2015,13,2.03639
06/01/2015,14,1.41128
06/01/2015,15,1.5128
06/01/2015,16,1.68127
06/01/2015,17,0.86103
06/01/2015,18,0.39676
06/01/2015,19,0.84772
06/01/2015,20,0.82519
06/01/2015,21,1.06553
06/01/2015,22,1.20054
06/01/2015,23,1.0406
06/01/2015,24,0.91359
06/01/2015,25,0.80651
06/01/2015,26,0.74963
06/01/2015,27,0.87704
06/01/2015,28,0.63915
06/01/2015,29,0.54122
06/01/2015,30,0.60886
06/01/2015,31,0.70782
06/01/2015,32,0.58512
06/01/2015,33,0.53323
06/01/2015,34,0.98845
06/01/2015,35,0.95679
06/01/2015,36,1.03544
06/01/2015,37,0.97093
06/01/2015,38,1.00012
06/01/2015,39,1.15709
06/01/2015,40,1.58892
06/01/2015,41,1.74563
06/01/2015,42,0.91032
06/01/2015,43,0.73228
06/01/2015,44,0.94858
06/01/2015,45,0.99533
06/01/2015,46,0.80857
06/01/2015,47,1.49421
06/01/2015,48,1.1883
07/01/2015,1,1.78047
07/01/2015,2,2.30517
07/01/2015,3,2.38546
07/01/2015,4,2.71529
