Date,Settlement Period,BSUoS Price
01/01/2012,1,2.07658
01/01/2012,2,2.07688
01/01/2012,3,1.99424
01/01/2012,4,1.98038
01/01/2012,5,1.69735
01/01/2012,6,1.6612
01/01/2012,7,2.77019
01/01/2012,8,3.54375
01/01/2012,9,4.29535
01/01/2012,10,4.10641
01/01/2012,11,3.95839
01/01/2012,12,3.71482
01/01/2012,13,4.43723
01/01/2012,14,4.56766
01/01/2012,15,4.113
01/01/2012,16,3.63341
01/01/2012,17,3.21172
01/01/2012,18,3.30917
01/01/2012,19,3.69766
01/01/2012,20,3.33563
01/01/2012,21,2.99493
01/01/2012,22,2.74403
01/01/2012,23,2.50163
01/01/2012,24,3.03753
01/01/2012,25,3.50138
01/01/2012,26,3.40646
01/01/2012,27,4.09444
01/01/2012,28,3.63147
01/01/2012,29,3.28068
01/01/2012,30,3.04253
01/01/2012,31,2.54017
01/01/2012,32,2.60129
01/01/2012,33,3.31126
01/01/2012,34,3.82502
01/01/2012,35,3.51938
01/01/2012,36,2.95089
01/01/2012,37,3.24157
01/01/2012,38,2.69347
01/01/2012,39,2.57617
01/01/2012,40,2.01977
01/01/2012,41,1.77844
01/01/2012,42,1.24413
01/01/2012,43,1.52876
01/01/2012,44,1.39399
01/01/2012,45,1.24788
01/01/2012,46,1.3898
01/01/2012,47,1.11936
01/01/2012,48,1.00309
02/01/2012,1,1.0726
02/01/2012,2,1.12092
02/01/2012,3,1.2817
02/01/2012,4,1.29325
02/01/2012,5,1.25043
02/01/2012,6,1.05448
02/01/2012,7,1.28856
02/01/2012,8,0.94604
02/01/2012,9,0.72133
02/01/2012,10,0.60625
02/01/2012,11,0.69233
02/01/2012,12,0.80281
02/01/2012,13,2.02964
02/01/2012,14,2.17607
02/01/2012,15,1.19553
02/01/2012,16,0.92617
02/01/2012,17,1.36123
02/01/2012,18,1.25148
02/01/2012,19,1.74675
02/01/2012,20,2.29254
02/01/2012,21,2.26814
02/01/2012,22,2.43428
02/01/2012,23,1.74968
02/01/2012,24,1.43626
02/01/2012,25,1.28842
02/01/2012,26,1.14468
02/01/2012,27,0.91723
02/01/2012,28,0.4503
02/01/2012,29,0.38903
02/01/2012,30,0.2831
02/01/2012,31,0.39278
02/01/2012,32,0.59384
02/01/2012,33,2.05272
02/01/2012,34,3.17837
02/01/2012,35,3.25759
02/01/2012,36,3.05927
02/01/2012,37,2.68036
02/01/2012,38,2.45926
02/01/2012,39,2.51895
02/01/2012,40,2.1714
02/01/2012,41,2.06316
02/01/2012,42,1.38302
02/01/2012,43,1.26442
02/01/2012,44,0.93559
02/01/2012,45,0.78643
02/01/2012,46,0.61723
02/01/2012,47,0.67233
02/01/2012,48,0.61365
03/01/2012,1,0.28909
03/01/2012,2,0.139
03/01/2012,3,0.54376
03/01/2012,4,0.74512
03/01/2012,5,0.92956
03/01/2012,6,1.21685
03/01/2012,7,1.22194
03/01/2012,8,1.17173
03/01/2012,9,0.91141
03/01/2012,10,0.71782
03/01/2012,11,1.61226
03/01/2012,12,2.45732
03/01/2012,13,3.32823
03/01/2012,14,3.80274
03/01/2012,15,4.33433
03/01/2012,16,3.92626
03/01/2012,17,3.94041
03/01/2012,18,3.64458
03/01/2012,19,3.15547
03/01/2012,20,2.5994
03/01/2012,21,2.4709
03/01/2012,22,2.27939
03/01/2012,23,2.22371
03/01/2012,24,2.22993
03/01/2012,25,2.29158
03/01/2012,26,2.98411
03/01/2012,27,2.76559
03/01/2012,28,2.04583
03/01/2012,29,1.99051
03/01/2012,30,1.89236
03/01/2012,31,1.92474
03/01/2012,32,1.67921
03/01/2012,33,1.51515
03/01/2012,34,2.20531
03/01/2012,35,2.40787
03/01/2012,36,2.34507
03/01/2012,37,2.16014
03/01/2012,38,2.17118
03/01/2012,39,2.15285
03/01/2012,40,2.14259
03/01/2012,41,2.49234
03/01/2012,42,2.1513
03/01/2012,43,2.32076
03/01/2012,44,1.77761
03/01/2012,45,1.66823
03/01/2012,46,1.33602
03/01/2012,47,1.05251
03/01/2012,48,0.82573
04/01/2012,1,1.39387
04/01/2012,2,1.52848
04/01/2012,3,1.94984
04/01/2012,4,2.54776
04/01/2012,5,2.17738
04/01/2012,6,2.08571
04/01/2012,7,1.60588
04/01/2012,8,1.13801
04/01/2012,9,1.0647
04/01/2012,10,1.12521
04/01/2012,11,1.18501
04/01/2012,12,1.38306
04/01/2012,13,1.38055
04/01/2012,14,1.68043
04/01/2012,15,2.36091
04/01/2012,16,1.63542
04/01/2012,17,1.22905
04/01/2012,18,0.9987
04/01/2012,19,1.32748
04/01/2012,20,1.23948
04/01/2012,21,1.47914
04/01/2012,22,1.44765
04/01/2012,23,1.30365
04/01/2012,24,1.43314
04/01/2012,25,1.48355
04/01/2012,26,1.50395
04/01/2012,27,2.04315
04/01/2012,28,2.53757
04/01/2012,29,1.82297
04/01/2012,30,1.43258
04/01/2012,31,1.25641
04/01/2012,32,1.5709
04/01/2012,33,1.98399
04/01/2012,34,2.34644
04/01/2012,35,2.63663
04/01/2012,36,2.25351
04/01/2012,37,2.50765
04/01/2012,38,2.34841
04/01/2012,39,2.54162
04/01/2012,40,3.05877
04/01/2012,41,2.76905
04/01/2012,42,2.52255
04/01/2012,43,3.16367
04/01/2012,44,2.38014
04/01/2012,45,2.54636
04/01/2012,46,2.49591
04/01/2012,47,2.47046
04/01/2012,48,2.29041
05/01/2012,1,2.60043
05/01/2012,2,2.60685
05/01/2012,3,2.94441
05/01/2012,4,2.56711
05/01/2012,5,2.34093
05/01/2012,6,2.24252
05/01/2012,7,1.64411
05/01/2012,8,1.36552
05/01/2012,9,1.12842
05/01/2012,10,1.0461
05/01/2012,11,1.12739
05/01/2012,12,1.6354
05/01/2012,13,1.75355
05/01/2012,14,1.68433
05/01/2012,15,1.96012
05/01/2012,16,1.49988
05/01/2012,17,2.04459
05/01/2012,18,1.71392
05/01/2012,19,1.46623
05/01/2012,20,1.47598
05/01/2012,21,2.36735
05/01/2012,22,2.83455
05/01/2012,23,1.76144
05/01/2012,24,1.57333
05/01/2012,25,1.56201
05/01/2012,26,1.50925
05/01/2012,27,1.62775
05/01/2012,28,1.2375
05/01/2012,29,1.22527
05/01/2012,30,0.96302
05/01/2012,31,1.22476
05/01/2012,32,1.12574
05/01/2012,33,1.87061
